"filename", "language", "Go Checksum File", "Markdown", "Go Module File", "Go", "HTML", "PostCSS", "JSON with Comments", "comment", "blank", "total"
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\static\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 335, 0, 30, 86, 451
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\auth\login.page.tmpl", "HTML", 0, 0, 0, 0, 57, 0, 0, 2, 7, 66
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\base\base.layout.tmpl", "HTML", 0, 0, 0, 0, 110, 0, 0, 9, 11, 130
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\calendario\calendario-vista.page.tmpl", "HTML", 0, 0, 0, 0, 148, 0, 0, 3, 17, 168
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\catalogo\catalogo.page.tmpl", "HTML", 0, 0, 0, 0, 68, 0, 0, 6, 4, 78
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\catalogo\producto-detalle.page.tmpl", "HTML", 0, 0, 0, 0, 45, 0, 0, 4, 0, 49
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\home\home.page.tmpl", "HTML", 0, 0, 0, 0, 98, 0, 0, 5, 7, 110
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\crear-producto.page.tmpl", "HTML", 0, 0, 0, 0, 180, 0, 0, 22, 24, 226
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\editar-producto.page.tmpl", "HTML", 0, 0, 0, 0, 190, 0, 0, 22, 24, 236
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\inventario.page.tmpl", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\ver_producto.page.tmpl", "HTML", 0, 0, 0, 0, 93, 0, 0, 6, 8, 107
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\aclaraciones-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 157, 0, 0, 0, 14, 171
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\aclaraciones.page.tmpl", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 27
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-aclaracion.page.tmpl", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 8, 71
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 165, 0, 0, 6, 17, 188
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-partida.page.tmpl", "HTML", 0, 0, 0, 0, 88, 0, 0, 8, 20, 116
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-propuesta.page.tmpl", "HTML", 0, 0, 0, 0, 84, 0, 0, 0, 11, 95
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\licitaciones.page.tmpl", "HTML", 0, 0, 0, 0, 152, 0, 0, 0, 12, 164
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\mostrar-partidas.page.tmpl", "HTML", 0, 0, 0, 0, 178, 0, 0, 2, 21, 201
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-aclaracion-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 89, 0, 0, 9, 7, 105
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-aclaracion.page.tmpl", "HTML", 0, 0, 0, 0, 77, 0, 0, 8, 13, 98
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 169, 0, 0, 6, 17, 192
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-partida.page.tmpl", "HTML", 0, 0, 0, 0, 88, 0, 0, 8, 20, 116
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-propuesta.page.tmpl", "HTML", 0, 0, 0, 0, 274, 0, 0, 0, 27, 301
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nuevo-producto-partida.page.tmpl", "HTML", 0, 0, 0, 0, 105, 0, 0, 2, 2, 109
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\productos-partida.page.tmpl", "HTML", 0, 0, 0, 0, 96, 0, 0, 1, 10, 107
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\propuestas.page.tmpl", "HTML", 0, 0, 0, 0, 183, 0, 0, 1, 24, 208
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\datos-referencia.page.tmpl", "HTML", 0, 0, 0, 0, 304, 0, 0, 6, 30, 340
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\empresas-externas.page.tmpl", "HTML", 0, 0, 0, 0, 61, 0, 0, 1, 2, 64
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-nueva.page.tmpl", "HTML", 0, 0, 0, 0, 66, 0, 0, 8, 14, 88
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-opciones.page.tmpl", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\opciones.page.tmpl", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\productos-externos.page.tmpl", "HTML", 0, 0, 0, 0, 103, 0, 0, 1, 6, 110
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\usuarios.page.tmpl", "HTML", 0, 0, 0, 0, 134, 0, 0, 4, 10, 148
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\editar-proyecto.page.tmpl", "HTML", 0, 0, 0, 0, 52, 0, 0, 2, 6, 60
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\nuevo-proyecto.page.tmpl", "HTML", 0, 0, 0, 0, 52, 0, 0, 1, 7, 60
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\proyectos-vista.page.tmpl", "HTML", 0, 0, 0, 0, 117, 0, 0, 4, 5, 126
"Total", "-", 12, 104, 12, 5230, 3990, 335, 8, 572, 1492, 11755
