"filename", "language", "Go Checksum File", "Go Module File", "HTML", "Go", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\mostrar-partidas.page.tmpl", "HTML", 0, 0, 126, 0, 0, 0, 2, 15, 143
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-licitacion.page.tmpl", "HTML", 0, 0, 169, 0, 0, 0, 6, 17, 192
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-partida.page.tmpl", "HTML", 0, 0, 88, 0, 0, 0, 8, 20, 116
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-partida2.page.tmpl", "HTML", 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\datos-referencia.page.tmpl", "HTML", 0, 0, 304, 0, 0, 0, 6, 30, 340
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-nueva.page.tmpl", "HTML", 0, 0, 66, 0, 0, 0, 8, 14, 88
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-opciones.page.tmpl", "HTML", 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\opciones.page.tmpl", "HTML", 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\nuevo-proyecto.page.tmpl", "HTML", 0, 0, 158, 0, 0, 0, 3, 19, 180
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\proyectos-vista.page.tmpl", "HTML", 0, 0, 67, 0, 0, 0, 0, 2, 69
"Total", "-", 10, 9, 2119, 2441, 8, 281, 472, 777, 6117
